Name,Additional names,Twitter-Account,Organization,Specific addresses,URL,Language,Category,Subcategory,Country
Basler Zeitung,BaZ,@bazonline,National Zeitung und Basler Nachrichten AG,,www.baslerzeitung.ch,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
Basellandschaftliche Zeitung,bz Basellandschaftliche Zeitung,,,,,DE,Massenmediale Öffentlichkeit,Tageszeitung,
Baslerstab,,,National Zeitung und Basler Nachrichten AG,,,,Massenmediale Öffentlichkeit,Inseratezeitung. Wurde eingestellt.,
BaZ Kompakt,BAZ Kompakt,,National Zeitung und Basler Nachrichten AG,,http://bazkompakt.ch/epaper/login.cfm,DE,Massenmediale Öffentlichkeit,3x wöchentlich,CH
BeCuriousTV,,,,,,,Massenmediale Öffentlichkeit,neuer Westschweizer Fernsehsender ab 2015,
Beobachter,Beobachter,@BeobachterRat,Axel Springer Schweiz AG,,http://www.beobachter.ch,DE,Massenmediale Öffentlichkeit,Zeitschrift,CH
Beobachter Natur,Beobachter Natur,@BeobachterNatur,Axel Springer Schweiz AG,,http://www.beobachter.ch/natur/,DE,Massenmediale Öffentlichkeit,Monatsmagazin,CH
Berner Landbote,Berner Landbote,,AZ Anzeiger AG,,http://www.bernerlandbote.ch/,DE,Massenmediale Öffentlichkeit,14-täglich,CH
Berner Oberländer,BO,@BernerZeitung,Tamedia AG,,http://bo.bernerzeitung.ch/,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
Berner Zeitung,BZ,@BernerZeitung,Espace Media AG,,http://www.bernerzeitung.ch/,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
Bernerbär,Bernerbär,,Espace Media AG,,http://www.bernerbaer.ch/,DE,Massenmediale Öffentlichkeit,Wochenzeitung,CH
Bezirks-Amtsblatt,Bezirks-Amtsblatt für die Gemeinden der Bezirke Landquart und Prättigau/Davos,,Bezirks-Amtsblatt,,http://www.bezirksamtsblatt.ch/sites/bezirksamtsblatt_online/aktuell.html#,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Biel Bienne,Biel Bienne,,Cortepress,,http://www.bielbienne.com/,"DE,FR",Massenmediale Öffentlichkeit,Gratiszeitung (Wochenblatt),CH
Bieler Tagblatt,Bieler Tagblatt,@bielertagblatt,W. Gassmann AG,,http://www.bielertagblatt.ch/,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
Bilan,Bilan,,Tamedia,,http://www.bilan.ch,FR,Massenmediale Öffentlichkeit,Zeitschrift,CH
Bilanz,Bilanz,@BILANZ,Axel Springer Schweiz AG,,http://www.bilanz.ch,DE,Massenmediale Öffentlichkeit,Zeitschrift (Magazin),CH
Birsfelder Anzeiger,Birsfelder Anzeiger,,LV Lokalzeitungen Verlags AG,,http://www.birsfelderanzeiger.ch/startseite.cfm,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Birsigtal Bote,Amtlicher Anzeiger Birsigtal,,Cratander AG,,http://www.bibo.ch/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Blick,Blick,@Blickch,Ringier AG,,http://www.blick.ch,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
Blick am Abend,Blick am Abend-Regionalausgabe Bern,@blickamabend_be,Ringier AG,,http://www.blickamabend.ch,DE,Massenmediale Öffentlichkeit,Gratis-Tageszeitung,CH
Blick am Abend,Blick am Abend-Regionalausgabe Luzern,,Ringier AG,,http://www.blickamabend.ch,DE,Massenmediale Öffentlichkeit,Gratis-Tageszeitung,CH
Blick am Abend,Blick am Abend-Regionalausgabe St. Gallen,,Ringier AG,,http://www.blickamabend.ch,DE,Massenmediale Öffentlichkeit,Gratis-Tageszeitung,CH
Blick am Abend,Blick am Abend-Regionalausgabe Zürich,,Ringier AG,,http://www.blickamabend.ch,DE,Massenmediale Öffentlichkeit,Gratis-Tageszeitung,CH
Blick am Abend,Blick am Abend-Regionalausgabe Basel,@blickamabend,Ringier AG,,http://www.blickamabend.ch,DE,Massenmediale Öffentlichkeit,Gratis-Tageszeitung,CH
Bluewin,Bluewin,,Swisscom AG,,http://www.bluewin.ch/,"DE,FR,IT",Massenmediale Öffentlichkeit,Newsportal,CH
BNJ.TV,BNJ.TV,@bnjtv,BNJ Multimédia Sàrl,,http://www.bnj.tv,FR,Massenmediale Öffentlichkeit,TV (Video-Berichte),CH
Bote der Urschweiz,suedostschweiz.ch - bote.ch,@bote_online ,Bote der Urschweiz AG,,http://www.bote.ch/,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
Bote vom Untersee und Rhein,Bote vom Untersee und Rhein,,"Druckerei Steckborn, Louis Keller AG",,http://www.druckerei-steckborn.ch/folge2.html,DE,Massenmediale Öffentlichkeit,2x wöchentlich,CH
Bremgarter Bezirks-Anzeiger,Bremgarter Bezirks-Anzeiger,,Freiämter Regionalzeitungen AG,,http://bremgarterbezirksanzeiger.ch,DE,Massenmediale Öffentlichkeit,2x wöchentlich,CH
Bümpliz-Woche,Bümpliz  Woche,,büwo Lokalanzeiger GmbH,,http://www.buemplizwoche.ch,DE,Massenmediale Öffentlichkeit,Wochenzeitung,CH
Bündner Tagblatt,,,Südostschweiz Presse und Print AG (Somedia),,,,Massenmediale Öffentlichkeit,,
Bündner Woche,Büwo,,Südostschweiz Presse und Print AG (Somedia),,http://www.buendnerwoche.ch,DE,Massenmediale Öffentlichkeit,Wochenzeitung,CH
bz Basel,Nordwestschweiz Netz - bzbasel.ch,@bzBasel,AZ Medien AG,,http://www.bzbasel.ch,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
BZ Emmental,Berner Zeitung,@BernerZeitung,Tamedia AG,,http://www.bernerzeitung.ch/region/emmental/,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
BZ Langenthaler Tagblatt,Berner Zeitung,@BernerZeitung,Tamedia AG,,http://www.bernerzeitung.ch/services/aboservice/BZ-Langenthaler-Tagblatt/story/13060822,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
BZ Stadt & Region,Berner Zeitung,@BernerZeitung,Tamedia AG,,http://www.bernerzeitung.ch/,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
