Name,(Sonstige) Bezeichnung / Abk.,Country,Category,Verifier,URL,URL-Sprache,Verlagshaus,Twitter-Account,Nickname,Organisation,Position,Follower,Tweets,Link
"Christen, Andrea",,CH,,Vincenzo,,,,@AndreaChristen3,,SRF3,Journalist,426,486,https://twitter.com/AndreaChristen3
"Clavadetscher, Richard",,CH,,Vincenzo,,,,@riclava,,,Journalist,134,318,https://twitter.com/riclava
"Coker, Olivia",,CH,,Vincenzo,,,,@Olivia_Coker,,,,200,31,https://twitter.com/Olivia_Coker
"Conzelmann, Moritz",,CH,,Vincenzo,,,,@conzelmannM,,Radio Basilisk,Chefredaktor,407,53,https://twitter.com/conzelmannM
"Cueni, Philipp",,CH,,Vincenzo,,,,@CueniEdito,,Medienmagazin Edito +Klartext,"Chefredaktor, Journalist",250,120,https://twitter.com/CueniEdito
"Curau, Laura ",,CH,,Vincenzo,,,,@LauraCurau,,,Kampagnenleiterin @CVP_PDC,1385,2954,https://twitter.com/LauraCurau
"Cyriax, Michael Paul",,CH,,Vincenzo,,,,@Cyrimi,,SRF,Lead Multimedia Content Group,799,3'246,https://twitter.com/Cyrimi
"Dagmar, Heuberger",,CH,,Vincenzo,,,,@Dagmar_Aarau,,"Die Nordwestschweiz, Aargauer Zeitung",Ressortleiterin Ausland,188,332,https://twitter.com/Dagmar_Aarau
"Dahinden, Sabine",,CH,,Vincenzo,,,,@SabineDahinden,,Schweiz Aktuell,,2'139,322,https://twitter.com/SabineDahinden
"Dähler, Thomas",,CH,,Vincenzo,,,,@tdaehler,,,Journalist,499,140,https://twitter.com/tdaehler
"Dahm, Philipp",,CH,,Vincenzo,,,,@PhilippDahm,,Watson,Journalist,267,665,https://twitter.com/PhilippDahm
"Dal Farra, Alexander",,CH,,Vincenzo,,,,@alexdalfarra,,Radio Tell ,Programmleiter,556,4'469,https://twitter.com/alexdalfarra
"Daum, Matthias",,CH,,Vincenzo,,,,@matthiasdaum,,,"Journalist, Leiter Schweizer Büro DIE ZEIT",3'945,3'743,https://twitter.com/matthiasdaum
"David, Fred",,CH,,Vincenzo,,,,@frontsight,,,Journalist,186,945,https://twitter.com/frontsight
"De Schepper, Werner",,CH,,Vincenzo,,,,@Wernerschepper,,,"Journalist, Theologe",2'864,1'923,https://twitter.com/Wernerschepper
"de Weck, Roger",,CH,,Vincenzo,,,,@WeckR,,Schweizerischen Radio- und Fernsehgesellschaft,Generaldirektor,641,102,https://twitter.com/WeckR
"Del Zotto, Cinzia",,CH,,Vincenzo,,,,@cinziadalzotto,,Professor of Media Management at the Academy of Journalism and Media at the University of Neuchâtel,"professor, media management, university of neuchâtel",160,799,https://twitter.com/cinziadalzotto
